Component,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alcoholic Beverage. Tobacco and Kola,,14.789937266332931,8.64476952801545,10.212895686194813,9.79207966437694,11.274406886416122,13.67924528301887,18.101244813277994,16.619821237843624,31.442963534260436
All Items,,18.545656397446564,15.368046450646178,11.441675460670497,11.982372436901345,15.754382541386146,15.62473659071113,21.345256609642306,28.92101890419736,34.79604833949486
All Items less Farm Produce.,,18.05217588138759,12.089545084128272,9.772056622332471,9.330684120305444,11.374407582938396,13.872980323148298,18.490629653564095,23.067438110594708,28.396917148362235
All Items less Farm Produce. and Energy,,14.704189686924508,12.593447393507606,10.427342810035212,9.947136919414067,11.832929604345587,14.348539547095518,18.210780092991218,23.063102435234416,29.27632876928541
Clothing and Footwear,,17.835761888625324,14.953987730061357,10.115076717811888,9.909125331313874,11.758018396665172,15.089395807644902,17.54653810097764,16.788953196919287,20.75155109845086
Communication,,5.327868852459039,3.479920710667339,7.428166016317839,7.984414212125213,9.822029233686024,10.519574539176935,11.221404817091596,5.830652833778838,2.144691780821928
Education,,21.616073650161738,10.96107615978723,9.804554254632624,8.807354854959915,10.35919595663415,12.893301636134801,18.425616251703204,19.384446420166302,21.71284634760704
Food,,17.389903329752965,19.411657059200273,13.558867476341895,14.669365721997307,19.559844651053314,17.371296387439706,23.753013942761303,33.933654106804,39.845420161157705
Food &  Non Alcoholic Bev.,,17.237664296487832,19.366844330086398,13.514761923091712,14.584604950830805,19.44896570092627,17.317840596585988,23.658479927354126,33.71815014686796,39.800766283524915
Furnishings & Household Equipment Maintenance.,,13.61923560021534,13.702884817856397,9.764340941710259,9.13193858613126,11.285896494415027,14.454902233181688,17.02928235472614,16.449296030284955,22.141568880675088
Health.,,11.285360998853978,11.441734417344174,9.814697728709687,9.584126843527185,14.060542375621399,14.917440294805463,18.21657622101627,23.847157016171106,23.250426468420283
"Housing Water, Electricity. Gas and Other  Fuel",,27.271249796847073,8.291831609415556,7.436814590621443,7.704972011853806,9.079792112503826,11.07374190333832,17.517102164405074,23.97413875369785,29.15231405753873
Imported Food,,21.092161734809125,15.902625565452588,15.66008127791414,16.03757175160898,16.651176735122153,17.335320876917958,18.34669470364041,24.895428465667212,41.28865902994918
Miscellaneous Goods & Services,,12.672499853191631,11.497368009589826,9.577899312859328,9.141711458066727,11.897596247801467,14.143001851269666,18.608849990819508,21.071235067984205,25.72561053573712
Recreation & Culture.,,10.097698072805139,9.93739743511821,8.724015922158346,8.18163327570427,10.853113983548756,13.466757123473538,15.736173393124053,8.859901197894814,9.91250185377428
Restaurant &  Hotels,,8.908119114278445,10.498948352418779,9.443240099402539,8.34822938306199,10.821777321977955,13.112577452321549,17.1237505780244,24.256689039390178,35.47929803979078
Transport,,17.32462368645271,12.34567901234569,10.079724197371242,9.246789852803005,13.065290618504966,15.048174442190664,20.162534435261705,26.73605538870674,31.726994808342845
